Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,BufferedRecords,15,0,16,4,216,45,0,0,0.0,2,8
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,JdbcSinkConfig,75,31,13,8,214,27,0,0,0.3076923076923077,18,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink,EnumValidator,2,0,4,3,26,6,0,0,0.5,0,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,3,0,18,16,103,18,0,0,0.3333333333333333,0,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink.metadata,SinkRecordField,3,0,10,10,37,10,0,0,0.0,14,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink.metadata,FieldsMetadata,3,3,7,3,163,43,0,0,0.2857142857142857,9,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.sink.metadata,SchemaPair,2,2,4,4,24,6,0,0,0.0,7,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc,JdbcSourceConnectorTest,3,0,17,13,142,19,0,0,0.23529411764705882,0,8
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc,JdbcSinkConnector,2,0,7,7,32,8,0,0,0.8571428571428571,6,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc,JdbcSourceConnector,7,0,7,7,120,15,0,0,0.5714285714285714,2,8
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,PostgreSqlDatabaseDialectTest,6,0,34,30,174,34,0,1,0.9117647058823529,0,5
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,MockDatabaseDialect,0,0,3,3,20,3,0,2,-1.0,3,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,0,0,2,2,11,2,0,2,-1.0,0,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,VerticaDatabaseDialectTest,0,0,17,16,86,17,0,1,-1.0,0,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SqlServerDatabaseDialectTest,0,0,20,19,105,20,0,1,-1.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SybaseDatabaseDialectTest,0,0,23,22,136,23,0,1,-1.0,0,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,MySqlDatabaseDialectTest,0,0,22,21,115,22,0,1,-1.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,BaseDialectTest,17,2,35,8,262,42,11,0,0.2571428571428571,0,6
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,OracleDatabaseDialectTest,0,0,18,17,95,18,0,1,-1.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,GenericDatabaseDialectTest,7,1,26,18,249,29,0,1,0.2692307692307692,0,14
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,DatabaseDialectsTest,0,0,14,13,54,14,0,0,-1.0,0,14
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SqliteDatabaseDialectTest,2,1,21,20,132,21,0,1,0.8095238095238095,0,4
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,GenericDatabaseDialectTypeTest,16,10,4,2,80,6,0,0,0.75,0,8
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Db2DatabaseDialectTest,0,0,21,20,111,21,0,1,-1.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,DerbyDatabaseDialectTest,0,0,21,20,111,21,0,1,-1.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SapHanaDatabaseDialectTest,0,0,18,17,93,18,0,1,-1.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,DatabaseDialect,0,0,34,0,291,34,1,0,-1.0,24,9
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,StatementBinder,0,0,3,0,29,3,0,0,-1.0,1,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,ColumnConverter,0,0,1,0,13,1,0,0,-1.0,0,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SqliteDatabaseDialect,0,0,8,5,76,23,0,2,-1.0,3,5
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,0,0,2,2,11,2,0,2,-1.0,0,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,VerticaDatabaseDialect,0,0,5,4,68,20,0,2,-1.0,3,4
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,0,0,2,2,11,2,0,2,-1.0,0,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,GenericDatabaseDialect,17,0,66,35,1235,270,11,1,0.16666666666666666,5,17
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,0,0,2,2,11,2,0,2,-1.0,0,3
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SqlServerDatabaseDialect,0,0,12,6,129,31,0,2,-1.0,3,8
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,0,0,2,2,11,2,0,2,-1.0,0,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,DatabaseDialectProvider,6,3,13,6,107,18,2,0,0.38461538461538464,3,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,JdbcUrlInfo,0,0,3,0,20,3,1,0,-1.0,4,0
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SubprotocolBasedProvider,1,0,3,1,30,8,11,1,0.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,FixedScoreProvider,1,0,2,1,13,2,1,1,0.0,0,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,DropOptions,2,0,9,8,63,11,0,0,0.2222222222222222,7,1
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,OracleDatabaseDialect,0,0,10,6,124,27,0,2,-1.0,3,6
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,0,0,2,2,11,2,0,2,-1.0,0,2
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,DerbyDatabaseDialect,0,0,8,4,94,23,0,2,-1.0,3,5
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,0,0,2,2,11,2,0,2,-1.0,0,2
