Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskTestBase,expectInitializeNoOffsets,7,2,1,121,0,io.aiven.connect.jdbc.source.JdbcSourceTaskTestBase,io.aiven.connect.jdbc.source.JdbcSourceTaskTestBase
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskTestBase,initializeTask,3,1,0,130,0,,
jdbc,io.aiven.connect.jdbc.source,JdbcSourceTaskTestBase,pollRecords,7,2,1,134,0,,
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,EmbeddedDerby,3,1,0,50,0,,
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,EmbeddedDerby,15,1,1,54,0,io.aiven.connect.jdbc.source.EmbeddedDerby,io.aiven.connect.jdbc.source.EmbeddedDerby
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,getName,3,1,0,75,0,,
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,getRawName,3,1,0,79,0,,
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,getUrl,7,2,1,83,0,io.aiven.connect.jdbc.source.EmbeddedDerby,io.aiven.connect.jdbc.source.EmbeddedDerby
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,getUrl,3,1,0,91,0,io.aiven.connect.jdbc.source.EmbeddedDerby,io.aiven.connect.jdbc.source.EmbeddedDerby
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,getShutdownUrl,3,1,0,95,0,io.aiven.connect.jdbc.source.EmbeddedDerby,io.aiven.connect.jdbc.source.EmbeddedDerby
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,getConnection,3,1,0,99,0,,
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,createTable,25,5,2,103,0,io.aiven.connect.jdbc.source.EmbeddedDerby,io.aiven.connect.jdbc.source.EmbeddedDerby
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,dropTable,4,1,1,140,0,,
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,close,13,2,0,148,0,io.aiven.connect.jdbc.source.EmbeddedDerby,io.aiven.connect.jdbc.source.EmbeddedDerby
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,dropDatabase,5,1,0,166,0,io.aiven.connect.jdbc.source.EmbeddedDerby,io.aiven.connect.jdbc.source.EmbeddedDerby
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,execute,3,1,1,176,0,,
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,insert,24,6,2,185,0,io.aiven.connect.jdbc.source.EmbeddedDerby,io.aiven.connect.jdbc.source.EmbeddedDerby
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,delete,10,2,2,219,0,io.aiven.connect.jdbc.source.EmbeddedDerby,io.aiven.connect.jdbc.source.EmbeddedDerby
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,delete,3,1,2,237,0,io.aiven.connect.jdbc.source.EmbeddedDerby,io.aiven.connect.jdbc.source.EmbeddedDerby
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,quoteCaseSensitive,3,1,1,241,0,,
jdbc,io.aiven.connect.jdbc.source,EmbeddedDerby,formatLiteral,19,5,1,245,0,,
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingOffsetTest,setUp,7,1,0,37,0,,
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingOffsetTest,testDefaults,4,1,0,46,1,,
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingOffsetTest,testToMap,7,1,0,52,1,,
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingOffsetTest,testGetIncrementingOffset,7,1,0,61,1,,
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingOffsetTest,testGetTimestampOffset,8,1,0,70,1,,
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingOffsetTest,testFromMap,7,1,0,80,1,,
jdbc,io.aiven.connect.jdbc.source,TimestampIncrementingOffsetTest,testEquals,13,1,0,89,1,,
jdbc,io.aiven.connect.jdbc.source,NumericMappingConfigTest,mapping,3,1,0,35,0,,
jdbc,io.aiven.connect.jdbc.source,NumericMappingConfigTest,setup,3,1,0,56,0,,
jdbc,io.aiven.connect.jdbc.source,NumericMappingConfigTest,testNumericMapping,11,2,3,61,0,,
