Project Name,Package Name,Type Name,Code Smell
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,DerbyDatabaseDialectTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,DerbyDatabaseDialectTest,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,DerbyDatabaseDialectTest,Insufficient Modularization
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SapHanaDatabaseDialectTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SapHanaDatabaseDialectTest,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,DatabaseDialect,Insufficient Modularization
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,ColumnConverter,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,GenericDatabaseDialect,Wide Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,GenericDatabaseDialect,Insufficient Modularization
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,DatabaseDialectProvider,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SubprotocolBasedProvider,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,SubprotocolBasedProvider,Wide Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,FixedScoreProvider,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,JdbcUrlDetails,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.dialect,Provider,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc,SchemaRegistryContainer,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.oracle,AbstractOracleIT,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.oracle,AbstractOracleIT,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.oracle,VerifyInsertIT,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.oracle,VerifyInsertIT,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.oracle,VerifyDeleteIT,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.oracle,VerifyDeleteIT,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.postgres,PartitionedTableIntegrationTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.postgres,UnqualifiedTableNamesIntegrationTest,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.postgres,UnqualifiedTableNamesIntegrationTest,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.postgres,VerifyInsertIT,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.postgres,VerifyInsertIT,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.postgres,AbstractPostgresIT,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.postgres,AbstractPostgresIT,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.postgres,VerifyDeleteIT,Unutilized Abstraction
jdbc-connector-for-apache-kafka,io.aiven.kafka.connect.jdbc.postgres,VerifyDeleteIT,Broken Hierarchy
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.config,JdbcConfig,Deficient Encapsulation
jdbc-connector-for-apache-kafka,io.aiven.connect.jdbc.config,DatabaseDialectRecommender,Deficient Encapsulation
