Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,DateTimeUtils,formatTime,8,1,2,54,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,DateTimeUtils,formatTimestamp,8,1,2,62,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,DateTimeUtils,DateTimeUtils,2,1,0,70,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,BytesUtil,toHex,8,2,1,24,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableDefinition,TableDefinition,10,3,2,33,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableDefinition,id,3,1,0,53,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableDefinition,columnCount,3,1,0,57,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableDefinition,definitionForColumn,3,1,1,61,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableDefinition,definitionsForColumns,3,1,0,65,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableDefinition,primaryKeyColumnNames,3,1,0,69,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableDefinition,columnNames,3,1,0,73,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableDefinition,hashCode,3,1,0,77,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableDefinition,equals,10,3,1,82,0,io.aiven.connect.jdbc.util.TableDefinition,io.aiven.connect.jdbc.util.TableDefinition
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,TableDefinition,toString,3,1,0,95,0,io.aiven.connect.jdbc.util.TableDefinition,io.aiven.connect.jdbc.util.TableDefinition
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,JdbcDriverInfo,JdbcDriverInfo,7,1,5,31,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,JdbcDriverInfo,jdbcMajorVersion,3,1,0,54,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,JdbcDriverInfo,jdbcMinorVersion,3,1,0,63,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,JdbcDriverInfo,productName,3,1,0,72,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,JdbcDriverInfo,productVersion,3,1,0,81,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,JdbcDriverInfo,jdbcDriverName,3,1,0,90,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,JdbcDriverInfo,jdbcVersionAtLeast,9,3,2,99,0,io.aiven.connect.jdbc.util.JdbcDriverInfo,io.aiven.connect.jdbc.util.JdbcDriverInfo
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,JdbcDriverInfo,toString,14,4,0,121,0,io.aiven.connect.jdbc.util.JdbcDriverInfo,io.aiven.connect.jdbc.util.JdbcDriverInfo
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProvider,CachedConnectionProvider,3,1,1,43,0,,
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.util,CachedConnectionProvider,CachedConnectionProvider,5,1,3,51,0,,
