Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,OffsetProtocols,0,0,2,2,25,2,0,0,-1.0,2,3,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/OffsetProtocols.java,27
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTask,9,1,10,6,0,41,0,0,0.2,3,11,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/JdbcSourceTask.java,51
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingTableQuerier,12,0,9,6,0,25,0,1,0.0,0,8,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/TimestampIncrementingTableQuerier.java,45
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,SchemaMapping,4,0,5,3,95,8,0,0,0.4,1,2,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/SchemaMapping.java,39
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,SchemaMapping.FieldSetter,2,0,0,0,34,0,0,0,-1.0,0,1,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/SchemaMapping.java,125
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceTaskConfig,4,2,2,2,19,3,0,1,1.0,10,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/JdbcSourceTaskConfig.java,28
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig,108,50,11,7,0,14,1,0,0.36363636363636365,17,1,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/JdbcSourceConnectorConfig.java,50
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig.TableRecommender,0,0,0,0,28,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/JdbcSourceConnectorConfig.java,559
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig.CachingRecommender,4,0,0,0,30,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/JdbcSourceConnectorConfig.java,593
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig.CachedRecommenderValues,3,0,0,0,19,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/JdbcSourceConnectorConfig.java,632
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig.ModeDependentsRecommender,0,0,0,0,0,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/JdbcSourceConnectorConfig.java,658
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig.NumericMapping,1,0,0,0,20,0,0,0,-1.0,0,2,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/JdbcSourceConnectorConfig.java,691
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConfig.EnumRecommender,2,0,0,0,32,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/JdbcSourceConnectorConfig.java,724
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,SourceConnectionProvider,0,0,2,0,9,2,0,0,-1.0,2,1,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/SourceConnectionProvider.java,25
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,BulkTableQuerier,1,0,5,3,0,10,0,1,0.8,0,2,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/BulkTableQuerier.java,37
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TableQuerier,11,0,14,9,104,21,2,0,0.14285714285714285,1,3,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/TableQuerier.java,33
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TableQuerier.QueryMode,0,0,0,0,1,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/TableQuerier.java,41
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,JdbcSourceConnectorConstants,5,5,0,0,7,0,0,0,-1.0,7,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/JdbcSourceConnectorConstants.java,20
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TimestampIncrementingOffset,6,0,7,7,69,15,0,0,0.0,5,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/TimestampIncrementingOffset.java,27
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.source,TableMonitorThread,11,0,5,4,141,22,0,0,0.0,2,3,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/source/TableMonitorThread.java,43
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriterTest,3,0,15,13,156,18,0,0,0.26666666666666666,0,7,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/sink/JdbcDbWriterTest.java,52
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,SqliteHelper,2,2,8,8,60,9,0,0,0.0,6,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/sink/SqliteHelper.java,30
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,SqliteHelper.ResultSetReadCallback,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/sink/SqliteHelper.java,40
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,BufferedRecordsTest,2,0,13,9,199,14,0,0,0.0,0,8,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/sink/BufferedRecordsTest.java,55
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,DbStructureTest,1,0,8,4,33,9,0,0,0.375,0,1,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/sink/DbStructureTest.java,35
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,SqliteHelperTest,1,0,3,3,68,4,0,0,0.0,0,6,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/sink/SqliteHelperTest.java,39
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcSinkConnectorTest,1,0,5,5,41,5,0,0,0.0,0,2,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/sink/JdbcSinkConnectorTest.java,34
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcSinkTaskTest,2,0,6,5,97,6,0,0,0.5,0,6,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/sink/JdbcSinkTaskTest.java,54
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,PreparedStatementBinderTest,1,0,4,4,67,4,0,0,0.0,0,7,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/sink/PreparedStatementBinderTest.java,55
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcSinkConfigTest,0,0,10,10,80,10,0,0,-1.0,0,1,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/sink/JdbcSinkConfigTest.java,36
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcSinkTask,5,0,6,5,79,11,0,0,0.5,1,5,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/sink/JdbcSinkTask.java,37
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,DbStructure,3,0,6,3,116,23,0,0,0.0,6,6,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/sink/DbStructure.java,41
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,PreparedStatementBinder,6,0,7,4,0,21,0,0,0.0,1,4,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/sink/PreparedStatementBinder.java,36
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcDbWriter,6,0,6,1,62,12,0,0,0.0,3,6,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/sink/JdbcDbWriter.java,38
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,BufferedRecords,15,0,16,4,0,45,0,0,0.0,2,7,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/sink/BufferedRecords.java,46
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcSinkConfig,75,31,9,5,0,21,0,0,0.0,17,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/sink/JdbcSinkConfig.java,43
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcSinkConfig.InsertMode,0,0,0,0,1,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/sink/JdbcSinkConfig.java,46
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcSinkConfig.PrimaryKeyMode,0,0,0,0,1,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/sink/JdbcSinkConfig.java,53
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink,JdbcSinkConfig.EnumValidator,2,0,0,0,26,0,0,0,-1.0,0,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/sink/JdbcSinkConfig.java,427
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink.metadata,FieldsMetadataTest,3,0,18,16,103,18,0,0,0.1111111111111111,0,3,/Users/krish/jdbc-connector-for-apache-kafka-master/src/test/java/io/aiven/connect/jdbc/sink/metadata/FieldsMetadataTest.java,36
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink.metadata,SinkRecordField,3,0,10,10,37,10,0,0,0.0,14,0,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/sink/metadata/SinkRecordField.java,24
jdbc-connector-for-apache-kafka-master,io.aiven.connect.jdbc.sink.metadata,FieldsMetadata,3,3,7,3,0,43,0,0,0.0,8,2,/Users/krish/jdbc-connector-for-apache-kafka-master/src/main/java/io/aiven/connect/jdbc/sink/metadata/FieldsMetadata.java,36
